factchecker,dataset,model,precision,recall,f1_score,model_cost,serper_cost,total_cost
factool,factcheckbench,gpt-4o-mini,0.62,0.66,0.61,,,
factool,factcheckbench,gpt-4o,0.62,0.66,0.6,,,
factool,bingcheck,gpt-4o-mini,0.61,0.63,0.56,,,
factool,bingcheck,gpt-4o,0.6,0.61,0.55,,,
factool,factool_qa,gpt-4o-mini,0.63,0.67,0.64,,,
factool,factool_qa,gpt-4o,0.64,0.67,0.65,,,
urdufactcheckthtr-3,factcheckbench,gpt-4o-mini,0.63,0.66,0.56,0.34,1.8,2.14
urdufactcheckthtr-3,bingcheck,gpt-4o-mini,0.64,0.65,0.58,0.13,0.78,0.91
urdufactcheckthtr-3,factool_qa,gpt-4o-mini,0.56,0.58,0.51,0.11,0.59,0.7
urdufactcheckthtr-5,factcheckbench,gpt-4.1,0.66,0.71,0.62,6.06,2.35,8.41
urdufactcheckthtr-5,factcheckbench,gpt-4o-mini,0.64,0.68,0.57,0.35,1.87,2.22
urdufactcheckthtr-5,factcheckbench,gpt-4o,0.64,0.68,0.6,7.42,2.32,9.74
urdufactcheckthtr-5,factcheckbench,claude-3-7-sonnet-latest,0.62,0.65,0.54,21.56,2.66,24.22
urdufactcheckthtr-5,factcheckbench,claude-3-5-haiku-latest,0.58,0.6,0.49,5.71,2.73,8.44
urdufactcheckthtr-5,factcheckbench,gpt-4.1-mini,0.64,0.68,0.62,1.1,2.06,3.16
urdufactcheckthtr-5,bingcheck,gpt-4o-mini,0.68,0.7,0.62,0.13,0.77,0.9
urdufactcheckthtr-5,bingcheck,gpt-4o,0.61,0.61,0.54,3.29,1.48,4.77
urdufactcheckthtr-5,factool_qa,gpt-4o-mini,0.6,0.64,0.55,0.11,0.6,0.71
urdufactcheckthtr-5,factool_qa,gpt-4o,0.59,0.61,0.58,2.16,0.71,2.87
urdufactcheck,factcheckbench,gpt-4o,0.59,0.62,0.55,5.49,1.76,7.25
urdufactcheck,factcheckbench,gpt-4o-mini,0.62,0.64,0.54,0.29,1.55,1.84
urdufactcheck,bingcheck,gpt-4o,0.63,0.63,0.55,2.91,0.98,3.89
urdufactcheck,bingcheck,gpt-4o-mini,0.63,0.64,0.56,0.12,0.7,0.82
urdufactcheck,factool_qa,gpt-4o,0.6,0.63,0.59,1.96,0.63,2.59
urdufactcheck,factool_qa,gpt-4o-mini,0.6,0.64,0.56,0.1,0.54,0.64
urdufactcheckthtr-9,factcheckbench,gpt-4o-mini,0.64,0.67,0.58,0.43,2.32,2.75
urdufactcheckthtr-9,bingcheck,gpt-4o,0.58,0.59,0.52,3.92,1.39,5.31
urdufactcheckthtr-9,bingcheck,gpt-4o-mini,0.67,0.7,0.62,0.17,0.96,1.13
urdufactcheckthtr-9,factool_qa,gpt-4o-mini,0.59,0.62,0.55,0.13,0.7,0.83
urdufactcheckthtr-7,factcheckbench,gpt-4o-mini,0.63,0.66,0.57,0.4,2.16,2.56
urdufactcheckthtr-7,bingcheck,gpt-4o,0.58,0.58,0.51,3.72,1.31,5.03
urdufactcheckthtr-7,bingcheck,gpt-4o-mini,0.65,0.67,0.59,0.15,0.89,1.04
urdufactcheckthtr-7,factool_qa,gpt-4o-mini,0.6,0.64,0.56,0.13,0.7,0.83
urdufactchecktr,factcheckbench,gpt-4o,0.66,0.71,0.64,10.3,1.78,12.08
urdufactchecktr,bingcheck,gpt-4o,0.59,0.61,0.57,5.65,1.64,7.29
urdufactchecktr,factool_qa,gpt-4o,0.67,0.73,0.67,3.22,0.59,3.81
urdufactchecktr,factool_qa,gpt-4o-mini,0.63,0.67,0.6,0.18,0.54,0.72
